gene_id,gene_name,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_cells
PA14_08695,PA14_08695,62,0.0007687524730088745,0.0007684571341784408,99.92990786275507,68.0,4.23410650459726,48
PA14_08710,PA14_08710,64,0.000813973206715279,0.0008136421101816101,99.92764682606975,72.0,4.290459441148391,57
PA14_08720,PA14_08720,2339,0.03310157707308801,0.03256551741656368,97.355717596518,2928.0,7.982416346827733,1950
PA14_08730,PA14_08730,1736,0.023153015657679046,0.022889051207152372,98.03742015714205,2048.0,7.6251071482389,1497
PA14_08740,PA14_08740,784,0.010966027923803063,0.010906337024504288,99.11367361935447,970.0,6.878326468291325,650
PA14_08750,PA14_08750,137,0.0017183878808433666,0.0017169131415965121,99.84511898705557,152.0,5.030437921392435,120
PA14_08760,PA14_08760,4213,0.06828330789667063,0.06605297492642365,95.23712622237296,6040.0,8.706324840138741,3309
PA14_08780,PA14_08780,6637,0.12003843762365045,0.11336300402494,92.49674975976485,10618.0,9.270400128403846,5172
PA14_08790,PA14_08790,623,0.008026680232886779,0.00799463778389943,99.29568707252275,710.0,6.566672429803241,539
PA14_08810,PA14_08810,893,0.01113560567520208,0.01107406128621188,98.99044712000452,985.0,6.893656354602635,748
PA14_08820,PA14_08820,5324,0.09548357922107287,0.09119589064033408,93.98112034367757,8446.0,9.041566627727496,4171
PA14_08830,PA14_08830,2000,0.029212593974337234,0.028794038014340266,97.73896331467978,2584.0,7.85748078694253,1636
PA14_08840,PA14_08840,42,0.0005087332541970493,0.0005086038933066846,99.95251822960827,45.0,3.828641396489095,40
PA14_08850,PA14_08850,1163,0.01525069244248488,0.015135569625391757,98.68520716748628,1349.0,7.2078598714324755,967
PA14_08860,PA14_08860,1188,0.015420270193883897,0.015302586099171487,98.6569442089198,1364.0,7.21890970761906,1001
PA14_08870,PA14_08870,565,0.006760499689107456,0.006737749986432384,99.36125713639704,598.0,6.395261598115449,479
PA14_08880,PA14_08880,1518,0.02115199819117065,0.020931399983865492,98.28387315584195,1871.0,7.534762657037537,1300
PA14_08890,PA14_08890,569,0.007291843310157707,0.007265386356186477,99.3567350630264,645.0,6.470799503782602,479
PA14_08900,PA14_08900,2791,0.037454072692329435,0.03676970485838941,96.84472330563564,3313.0,8.105911197986508,2312
PA14_08910,PA14_08910,2698,0.04104912102198858,0.04022897489998209,96.94986151150302,3631.0,8.197538739721184,2198
PA14_08920,PA14_08920,513,0.0065230908371488325,0.006501907550546847,99.42004409021537,577.0,6.359573868672378,445
PA14_08930,PA14_08930,401,0.00505341699169069,0.00504069133407533,99.5466621445933,447.0,6.104793232414985,322
PA14_08940,PA14_08940,971,0.012865298739472049,0.012783243808390873,98.90226668927703,1138.0,7.037905963447182,839
PA14_08950,PA14_08950,1308,0.016539483353117404,0.01640419578456444,98.52128200780058,1463.0,7.288927694521257,1105
PA14_08960,PA14_08960,1109,0.01465151772087502,0.01454522124702014,98.74625515798994,1296.0,7.167809184316444,925
